Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P02787	TRFE_HUMAN	reviewed	Serotransferrin (Transferrin) (Beta-1 metal-binding globulin) (Siderophilin)	TF PRO1400	Homo sapiens (Human)	698
B4DPQ0	B4DPQ0_HUMAN	unreviewed	Complement C1r subcomponent (cDNA FLJ54471, highly similar to Complement C1r subcomponent (EC 3.4.21.41))	C1R	Homo sapiens (Human)	719
G3V2W1	G3V2W1_HUMAN	unreviewed	Protein Z-dependent protease inhibitor (Serpin peptidase inhibitor, clade A (Alpha-1 antiproteinase, antitrypsin), member 10, isoform CRA_a)	SERPINA10 hCG_22331	Homo sapiens (Human)	484
A0A024R962	A0A024R962_HUMAN	unreviewed	HCG40889, isoform CRA_b	hCG_40889	Homo sapiens (Human)	1231
B0YIW2	B0YIW2_HUMAN	unreviewed	Apolipoprotein C-III (Apolipoprotein C-III variant 1)	APOC3	Homo sapiens (Human)	117
Q5U077	Q5U077_HUMAN	unreviewed	L-lactate dehydrogenase (EC 1.1.1.27)	LDHB HEL-S-281 hCG_24788	Homo sapiens (Human)	334
B7ZKJ8	B7ZKJ8_HUMAN	unreviewed	ITIH4 protein (Inter-alpha-trypsin inhibitor heavy chain H4)	ITIH4	Homo sapiens (Human)	935
B4E1Z4	B4E1Z4_HUMAN	unreviewed	Uncharacterized protein (cDNA FLJ55673, highly similar to Complement factor B (EC 3.4.21.47))		Homo sapiens (Human)	1266
A0A024R3E3	A0A024R3E3_HUMAN	unreviewed	Apolipoprotein A-I, isoform CRA_a	APOA1 hCG_41332	Homo sapiens (Human)	267
A5PKX5	A5PKX5_HUMAN	unreviewed	Alpha-mannosidase (EC 3.2.1.-)	MAN2A1	Homo sapiens (Human)	1143
A0A024R6N9	A0A024R6N9_HUMAN	unreviewed	Serpin peptidase inhibitor, clade A (Alpha-1 antiproteinase, antitrypsin), member 5, isoform CRA_a	SERPINA5 hCG_2029091	Homo sapiens (Human)	406
A5PL27	A5PL27_HUMAN	unreviewed	CP protein (Ceruloplasmin (Ferroxidase)) (Ceruloplasmin (Ferroxidase), isoform CRA_a)	CP hCG_1781201	Homo sapiens (Human)	1065
A0A024R035	A0A024R035_HUMAN	unreviewed	Complement component 9, isoform CRA_a	C9 hCG_37544	Homo sapiens (Human)	559
Q14663	Q14663_HUMAN	unreviewed	H-2K binding factor-2	KBF2 pKBF-2	Homo sapiens (Human)	420
D3DQX7	D3DQX7_HUMAN	unreviewed	Serum amyloid A protein	SAA1 hCG_15534	Homo sapiens (Human)	122
Q6U2H4	Q6U2H4_HUMAN	unreviewed	C4B1 (Fragment)	C4B	Homo sapiens (Human)	100
A0A024R9Q1	A0A024R9Q1_HUMAN	unreviewed	Thrombospondin 1, isoform CRA_a	THBS1 hCG_1787130	Homo sapiens (Human)	1170
V9HW92	V9HW92_HUMAN	unreviewed	Epididymis secretory protein Li 112 (PDZ and LIM domain 1 (Elfin), isoform CRA_a)	HEL-S-112 PDLIM1 hCG_39492	Homo sapiens (Human)	329
A0A024R6I7	A0A024R6I7_HUMAN	unreviewed	Serpin peptidase inhibitor, clade A (Alpha-1 antiproteinase, antitrypsin), member 1, isoform CRA_a	SERPINA1 hCG_2029168	Homo sapiens (Human)	418
V9HWC0	V9HWC0_HUMAN	unreviewed	Epididymis luminal protein 70 (Moesin, isoform CRA_a)	HEL70 MSN hCG_18939	Homo sapiens (Human)	577
D1MGQ2	D1MGQ2_HUMAN	unreviewed	Alpha-2 globin chain (Delta globin) (HCG1745306, isoform CRA_b)	HBA2 hCG_1745306	Homo sapiens (Human)	142
A2RTY6	A2RTY6_HUMAN	unreviewed	Inter-alpha (Globulin) inhibitor H2 (Inter-alpha (Globulin) inhibitor H2, isoform CRA_b) (cDNA FLJ75038, highly similar to Homo sapiens inter-alpha (globulin) inhibitor H2 (ITIH2), mRNA)	ITIH2 hCG_25115	Homo sapiens (Human)	946
V9HWE3	V9HWE3_HUMAN	unreviewed	Carbonic anhydrase I, isoform CRA_a (Epididymis secretory protein Li 11)	HEL-S-11 CA1 hCG_20883	Homo sapiens (Human)	261
Q5EFE5	Q5EFE5_HUMAN	unreviewed	Anti-RhD monoclonal T125 gamma1 heavy chain		Homo sapiens (Human)	475
Q6N089	Q6N089_HUMAN	unreviewed	Putative uncharacterized protein DKFZp686P15220	DKFZp686P15220	Homo sapiens (Human)	472
V9HWF5	V9HWF5_HUMAN	unreviewed	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	HEL-S-69p	Homo sapiens (Human)	165
C9JC84	C9JC84_HUMAN	unreviewed	Fibrinogen gamma chain	FGG	Homo sapiens (Human)	461
A0A024R4F1	A0A024R4F1_HUMAN	unreviewed	Enolase 1, (Alpha), isoform CRA_a	ENO1 hCG_22399	Homo sapiens (Human)	434
Q6MZU6	Q6MZU6_HUMAN	unreviewed	Putative uncharacterized protein DKFZp686C15213	DKFZp686C15213	Homo sapiens (Human)	464
Q6P089	Q6P089_HUMAN	unreviewed	IGH@ protein	IGH@	Homo sapiens (Human)	480
D6REX5	D6REX5_HUMAN	unreviewed	Selenoprotein P (Fragment)	SEPP1	Homo sapiens (Human)	310
Q6MZX7	Q6MZX7_HUMAN	unreviewed	Putative uncharacterized protein DKFZp686M24218	DKFZp686M24218	Homo sapiens (Human)	476
A0A024R944	A0A024R944_HUMAN	unreviewed	Serpin peptidase inhibitor, clade C (Antithrombin), member 1, isoform CRA_a	SERPINC1 hCG_23693	Homo sapiens (Human)	464
Q7Z3Y4	Q7Z3Y4_HUMAN	unreviewed	Uncharacterized protein		Homo sapiens (Human)	236
D6RE86	D6RE86_HUMAN	unreviewed	Ceruloplasmin (Fragment)	CP	Homo sapiens (Human)	178
V9HWB8	V9HWB8_HUMAN	unreviewed	Pyruvate kinase (EC 2.7.1.40)	HEL-S-30	Homo sapiens (Human)	531
V9GYM3	V9GYM3_HUMAN	unreviewed	Apolipoprotein A-II	APOA2	Homo sapiens (Human)	133
Q68CN4	Q68CN4_HUMAN	unreviewed	Putative uncharacterized protein DKFZp686E23209	DKFZp686E23209	Homo sapiens (Human)	470
Q6N030	Q6N030_HUMAN	unreviewed	Putative uncharacterized protein DKFZp686I15212	DKFZp686I15212	Homo sapiens (Human)	518
A0A024R1N1	A0A024R1N1_HUMAN	unreviewed	Myosin, heavy polypeptide 9, non-muscle, isoform CRA_a	MYH9 hCG_41454	Homo sapiens (Human)	1960
Q6N092	Q6N092_HUMAN	unreviewed	Putative uncharacterized protein DKFZp686K18196 (Fragment)	DKFZp686K18196	Homo sapiens (Human)	519
Q6GMX4	Q6GMX4_HUMAN	unreviewed	IGL@ protein	IGL@	Homo sapiens (Human)	236
A0A024R145	A0A024R145_HUMAN	unreviewed	Fructose-bisphosphate aldolase (EC 4.1.2.13)	ALDOB hCG_27655	Homo sapiens (Human)	364
D9ZGG2	D9ZGG2_HUMAN	unreviewed	Vitronectin	VTN	Homo sapiens (Human)	478
B3KS49	B3KS49_HUMAN	unreviewed	cDNA FLJ35478 fis, clone SMINT2007796, highly similar to Gelsolin		Homo sapiens (Human)	485
B2R6W1	B2R6W1_HUMAN	unreviewed	cDNA, FLJ93143, highly similar to Homo sapiens complement component 7 (C7), mRNA		Homo sapiens (Human)	843
A6XGL1	A6XGL1_HUMAN	unreviewed	Transthyretin		Homo sapiens (Human)	184
B2R7D2	B2R7D2_HUMAN	unreviewed	cDNA, FLJ93389, highly similar to Homo sapiens multiple inositol polyphosphate histidine phosphatase, 1 (MINPP1), mRNA		Homo sapiens (Human)	487
A5PL32	A5PL32_HUMAN	unreviewed	APOL1 protein (Fragment)	APOL1	Homo sapiens (Human)	439
V9HWA9	V9HWA9_HUMAN	unreviewed	Epididymis secretory sperm binding protein Li 62p	HEL-S-62p	Homo sapiens (Human)	1663
B3KS79	B3KS79_HUMAN	unreviewed	cDNA FLJ35730 fis, clone TESTI2003131, highly similar to ALPHA-1-ANTICHYMOTRYPSIN		Homo sapiens (Human)	448
V9HW21	V9HW21_HUMAN	unreviewed	Epididymis luminal protein 76	HEL-76	Homo sapiens (Human)	260
Q9UNU2	Q9UNU2_HUMAN	unreviewed	Complement protein C4B frameshift mutant (Fragment)	C4B	Homo sapiens (Human)	354
D2KT85	D2KT85_HUMAN	unreviewed	Complement factor B (Fragment)		Homo sapiens (Human)	260
Q86SX2	Q86SX2_HUMAN	unreviewed	Full-length cDNA clone CS0DL004YM19 of B cells (Ramos cell line) of Homo sapiens (human) (Fragment)		Homo sapiens (Human)	139
V9HWD8	V9HWD8_HUMAN	unreviewed	Epididymis secretory sperm binding protein Li 163pA	HEL-S-163pA	Homo sapiens (Human)	495
V9HVY1	V9HVY1_HUMAN	unreviewed	Epididymis secretory sperm binding protein Li 78p	HEL-S-78p	Homo sapiens (Human)	491
B7Z8Q2	B7Z8Q2_HUMAN	unreviewed	cDNA FLJ55606, highly similar to Alpha-2-HS-glycoprotein		Homo sapiens (Human)	433
Q6NXF2	Q6NXF2_HUMAN	unreviewed	FLNA protein (Fragment)	FLNA	Homo sapiens (Human)	983
B2R8I2	B2R8I2_HUMAN	unreviewed	cDNA, FLJ93914, highly similar to Homo sapiens histidine-rich glycoprotein (HRG), mRNA		Homo sapiens (Human)	525
Q53G76	Q53G76_HUMAN	unreviewed	Beta actin variant (Fragment)		Homo sapiens (Human)	375
B4DR57	B4DR57_HUMAN	unreviewed	cDNA FLJ60818, highly similar to Complement C3		Homo sapiens (Human)	235
A8K2N0	A8K2N0_HUMAN	unreviewed	cDNA FLJ77835, highly similar to Homo sapiens complement component 1, s subcomponent (C1S), transcript variant 2, mRNA		Homo sapiens (Human)	688
Q56G89	Q56G89_HUMAN	unreviewed	Serum albumin		Homo sapiens (Human)	609
D9YZU5	D9YZU5_HUMAN	unreviewed	Hemoglobin, beta	HBB	Homo sapiens (Human)	147
B2R7F8	B2R7F8_HUMAN	unreviewed	cDNA, FLJ93426, highly similar to Homo sapiens plasminogen (PLG), mRNA		Homo sapiens (Human)	810
B7Z1F8	B7Z1F8_HUMAN	unreviewed	cDNA FLJ53025, highly similar to Complement C4-B		Homo sapiens (Human)	270
A8K061	A8K061_HUMAN	unreviewed	cDNA FLJ77880, highly similar to Homo sapiens angiopoietin-like 3, mRNA		Homo sapiens (Human)	460
B2R815	B2R815_HUMAN	unreviewed	cDNA, FLJ93695, highly similar to Homo sapiens serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 4 (SERPINA4), mRNA		Homo sapiens (Human)	427
B4DPQ3	B4DPQ3_HUMAN	unreviewed	cDNA FLJ51034, highly similar to Vitamin K-dependent protein C (EC 3.4.21.69)		Homo sapiens (Human)	517
K7ER74	K7ER74_HUMAN	unreviewed	Protein APOC4-APOC2	APOC4-APOC2	Homo sapiens (Human)	178
B4E344	B4E344_HUMAN	unreviewed	cDNA FLJ54406, highly similar to Complement C4-B		Homo sapiens (Human)	650
Q53HT9	Q53HT9_HUMAN	unreviewed	Complement component 1, r subcomponent variant (Fragment)		Homo sapiens (Human)	705
B4E1F0	B4E1F0_HUMAN		Plasma protease C1 inhibitor.			
F5H4W9	F5H4W9_HUMAN		Serum paraoxonase/arylesterase 1.			
Q5TCU6	Q5TCU6_HUMAN		Talin-1.			
